Row ID;Transcript #;Keep;Eliminate;Kind;Status;Row Start Time;Row End Time;Transcript Token Index;Transcript Token;Reference Token Index;Reference Token;Alignment Type;Alignment Confidence;Timing Source;Source Start Time;Source End Time;Notes
1;1;x;;speech;ANCHOR;00:00:00:15;00:00:05:19;0;on;0;on;MATCH;1.00;groq_word;00:00:00:15;00:00:00:20;
1;1;x;;speech;ANCHOR;00:00:00:15;00:00:05:19;1;est;1;est;MATCH;1.00;groq_word;00:00:00:20;00:00:00:23;
1;1;x;;speech;ANCHOR;00:00:00:15;00:00:05:19;2;en;2;en;MATCH;1.00;groq_word;00:00:00:23;00:00:01:05;
1;1;x;;speech;ANCHOR;00:00:00:15;00:00:05:19;3;janvier;3;janvier;MATCH;1.00;groq_word;00:00:01:05;00:00:01:08;
1;1;x;;speech;ANCHOR;00:00:00:15;00:00:05:19;4;2012;4;2012;MATCH;1.00;groq_word;00:00:01:08;00:00:02:00;
1;1;x;;speech;ANCHOR;00:00:00:15;00:00:05:19;5;l;5;l;MATCH;1.00;groq_word;00:00:02:00;00:00:02:07;
1;1;x;;speech;ANCHOR;00:00:00:15;00:00:05:19;6;acteur;6;acteur;MATCH;1.00;groq_word;00:00:02:00;00:00:02:07;
1;1;x;;speech;ANCHOR;00:00:00:15;00:00:05:19;7;nicolas;7;nicolas;MATCH;1.00;groq_word;00:00:02:07;00:00:02:16;
1;1;x;;speech;ANCHOR;00:00:00:15;00:00:05:19;8;cage;8;cage;MATCH;1.00;groq_word;00:00:02:16;00:00:03:00;
1;1;x;;speech;ANCHOR;00:00:00:15;00:00:05:19;9;participe;9;participe;MATCH;1.00;groq_word;00:00:03:00;00:00:03:18;
1;1;x;;speech;ANCHOR;00:00:00:15;00:00:05:19;10;a;10;a;MATCH;1.00;groq_word;00:00:03:18;00:00:03:23;
1;1;x;;speech;ANCHOR;00:00:00:15;00:00:05:19;11;une;11;une;MATCH;1.00;groq_word;00:00:03:23;00:00:04:03;
1;1;x;;speech;ANCHOR;00:00:00:15;00:00:05:19;12;enchere;12;enchere;MATCH;1.00;groq_word;00:00:04:03;00:00:04:15;
1;1;x;;speech;ANCHOR;00:00:00:15;00:00:05:19;13;secrete;13;secrete;MATCH;1.00;groq_word;00:00:04:15;00:00:05:04;
1;1;x;;speech;ANCHOR;00:00:00:15;00:00:05:19;14;a;14;a;MATCH;1.00;groq_word;00:00:05:04;00:00:05:09;
1;1;x;;speech;ANCHOR;00:00:00:15;00:00:05:19;15;washington;15;washington;MATCH;1.00;groq_word;00:00:05:09;00:00:05:19;
2;2;;x;silence;SILENCE;00:00:05:19;00:00:06:17;;;;;SILENCE;1.00;silence_row;00:00:05:19;00:00:06:17;
3;3;x;;speech;TRANSPOSED_MATCH;00:00:06:17;00:00:09:21;0;dans;0;dans;MATCH;1.00;groq_word;00:00:06:17;00:00:06:19;
3;3;x;;speech;TRANSPOSED_MATCH;00:00:06:17;00:00:09:21;1;la;1;la;MATCH;1.00;groq_word;00:00:06:19;00:00:07:00;
3;3;x;;speech;TRANSPOSED_MATCH;00:00:06:17;00:00:09:21;2;salle;2;salle;MATCH;1.00;groq_word;00:00:07:00;00:00:07:04;
3;3;x;;speech;TRANSPOSED_MATCH;00:00:06:17;00:00:09:21;3;il;3;il;MATCH;1.00;groq_word;00:00:07:04;00:00:07:05;
3;3;x;;speech;TRANSPOSED_MATCH;00:00:06:17;00:00:09:21;4;y;4;y;MATCH;1.00;groq_word;00:00:07:05;00:00:07:05;
3;3;x;;speech;TRANSPOSED_MATCH;00:00:06:17;00:00:09:21;5;a;5;a;MATCH;1.00;groq_word;00:00:07:05;00:00:07:06;
3;3;x;;speech;TRANSPOSED_MATCH;00:00:06:17;00:00:09:21;6;un;6;un;MATCH;1.00;groq_word;00:00:07:06;00:00:07:09;
3;3;x;;speech;TRANSPOSED_MATCH;00:00:06:17;00:00:09:21;;;7;chat;REF_ONLY;0.00;;;;
3;3;x;;speech;TRANSPOSED_MATCH;00:00:06:17;00:00:09:21;;;8;et;REF_ONLY;0.00;;;;
3;3;x;;speech;TRANSPOSED_MATCH;00:00:06:17;00:00:09:21;7;cheval;;;TRANSCRIPT_ONLY;0.00;groq_word;00:00:07:09;00:00:08:07;
3;3;x;;speech;TRANSPOSED_MATCH;00:00:06:17;00:00:09:21;8;il;;;TRANSCRIPT_ONLY;0.00;groq_word;00:00:08:07;00:00:08:09;
3;3;x;;speech;TRANSPOSED_MATCH;00:00:06:17;00:00:09:21;9;y;;;TRANSCRIPT_ONLY;0.00;groq_word;00:00:08:09;00:00:08:10;
3;3;x;;speech;TRANSPOSED_MATCH;00:00:06:17;00:00:09:21;10;a;;;TRANSCRIPT_ONLY;0.00;groq_word;00:00:08:10;00:00:08:10;
3;3;x;;speech;TRANSPOSED_MATCH;00:00:06:17;00:00:09:21;11;un;9;un;MATCH;1.00;groq_word;00:00:08:10;00:00:08:16;
3;3;x;;speech;TRANSPOSED_MATCH;00:00:06:17;00:00:09:21;12;chien;10;chien;MATCH;1.00;groq_word;00:00:08:16;00:00:08:18;
3;3;x;;speech;TRANSPOSED_MATCH;00:00:06:17;00:00:09:21;13;et;11;et;MATCH;1.00;groq_word;00:00:08:18;00:00:09:06;
3;3;x;;speech;TRANSPOSED_MATCH;00:00:06:17;00:00:09:21;14;il;;;TRANSCRIPT_ONLY;0.00;groq_word;00:00:09:06;00:00:09:09;
3;3;x;;speech;TRANSPOSED_MATCH;00:00:06:17;00:00:09:21;15;y;;;TRANSCRIPT_ONLY;0.00;groq_word;00:00:09:09;00:00:09:10;
3;3;x;;speech;TRANSPOSED_MATCH;00:00:06:17;00:00:09:21;16;a;;;TRANSCRIPT_ONLY;0.00;groq_word;00:00:09:10;00:00:09:10;
3;3;x;;speech;TRANSPOSED_MATCH;00:00:06:17;00:00:09:21;17;un;12;un;MATCH;1.00;groq_word;00:00:09:10;00:00:09:13;
3;3;x;;speech;TRANSPOSED_MATCH;00:00:06:17;00:00:09:21;18;cerf;13;cerf;MATCH;1.00;groq_word;00:00:09:13;00:00:09:21;
3;3;x;;speech;TRANSPOSED_MATCH;00:00:06:17;00:00:09:21;19;volant;14;volant;MATCH;1.00;groq_word;00:00:09:13;00:00:09:21;
4;4;;x;silence;SILENCE;00:00:09:21;00:00:10:18;;;;;SILENCE;1.00;silence_row;00:00:09:21;00:00:10:18;
5;5;x;;speech;ANCHOR;00:00:10:18;00:00:15:06;0;il;0;il;MATCH;1.00;groq_word;00:00:10:18;00:00:10:21;
5;5;x;;speech;ANCHOR;00:00:10:18;00:00:15:06;1;achete;1;achete;MATCH;1.00;groq_word;00:00:10:21;00:00:11:04;
5;5;x;;speech;ANCHOR;00:00:10:18;00:00:15:06;2;un;2;un;MATCH;1.00;groq_word;00:00:11:04;00:00:11:11;
5;5;x;;speech;ANCHOR;00:00:10:18;00:00:15:06;3;fossile;3;fossile;MATCH;1.00;groq_word;00:00:11:11;00:00:11:21;
5;5;x;;speech;ANCHOR;00:00:10:18;00:00:15:06;4;de;4;de;MATCH;1.00;groq_word;00:00:11:21;00:00:12:04;
5;5;x;;speech;ANCHOR;00:00:10:18;00:00:15:06;5;dinosaure;5;dinosaure;MATCH;1.00;groq_word;00:00:12:04;00:00:12:18;
5;5;x;;speech;ANCHOR;00:00:10:18;00:00:15:06;6;pour;6;pour;MATCH;1.00;groq_word;00:00:12:18;00:00:13:02;
5;5;x;;speech;ANCHOR;00:00:10:18;00:00:15:06;7;270;7;270;MATCH;1.00;groq_word;00:00:13:02;00:00:14:07;
5;5;x;;speech;ANCHOR;00:00:10:18;00:00:15:06;8;000;8;000;MATCH;1.00;groq_word;00:00:14:07;00:00:14:14;
5;5;x;;speech;ANCHOR;00:00:10:18;00:00:15:06;9;dollars;9;dollars;MATCH;1.00;groq_word;00:00:14:14;00:00:15:06;
6;6;;x;silence;SILENCE;00:00:15:06;00:00:16:15;;;;;SILENCE;1.00;silence_row;00:00:15:06;00:00:16:15;
7;7;x;;speech;MATCH;00:00:16:15;00:00:20:02;0;il;0;il;MATCH;1.00;groq_word;00:00:16:15;00:00:16:19;
7;7;x;;speech;MATCH;00:00:16:15;00:00:20:02;1;passe;1;passe;MATCH;1.00;groq_word;00:00:16:19;00:00:17:02;
7;7;x;;speech;MATCH;00:00:16:15;00:00:20:02;2;devant;2;devant;MATCH;1.00;groq_word;00:00:17:02;00:00:17:08;
7;7;x;;speech;MATCH;00:00:16:15;00:00:20:02;3;leonardo;3;leonardo;MATCH;1.00;groq_word;00:00:17:08;00:00:17:18;
7;7;x;;speech;MATCH;00:00:16:15;00:00:20:02;4;dicaprio;4;dicaprio;MATCH;1.00;groq_word;00:00:17:18;00:00:18:09;
7;7;x;;speech;MATCH;00:00:16:15;00:00:20:02;5;qui;5;qui;MATCH;1.00;groq_word;00:00:18:09;00:00:18:14;
7;7;x;;speech;MATCH;00:00:16:15;00:00:20:02;6;voulait;6;voulait;MATCH;1.00;groq_word;00:00:18:14;00:00:18:19;
7;7;x;;speech;MATCH;00:00:16:15;00:00:20:02;7;aussi;7;aussi;MATCH;1.00;groq_word;00:00:18:19;00:00:19:07;
7;7;x;;speech;MATCH;00:00:16:15;00:00:20:02;8;le;8;le;MATCH;1.00;groq_word;00:00:19:07;00:00:19:14;
7;7;x;;speech;MATCH;00:00:16:15;00:00:20:02;9;fossil;9;fossile;APPROX_MATCH;0.92;groq_word;00:00:19:14;00:00:20:02;
8;8;;x;silence;SILENCE;00:00:20:02;00:00:20:19;;;;;SILENCE;1.00;silence_row;00:00:20:02;00:00:20:19;
9;9;x;;speech;MATCH;00:00:20:19;00:00:22:11;0;mais;0;mais;MATCH;1.00;groq_word;00:00:20:19;00:00:20:23;
9;9;x;;speech;MATCH;00:00:20:19;00:00:22:11;1;le;1;le;MATCH;1.00;groq_word;00:00:20:23;00:00:21:01;
9;9;x;;speech;MATCH;00:00:20:19;00:00:22:11;2;fossile;2;fossile;MATCH;1.00;groq_word;00:00:21:01;00:00:21:09;
9;9;x;;speech;MATCH;00:00:20:19;00:00:22:11;3;a;3;a;MATCH;1.00;groq_word;00:00:21:09;00:00:21:14;
9;9;x;;speech;MATCH;00:00:20:19;00:00:22:11;4;en;4;en;MATCH;1.00;groq_word;00:00:21:14;00:00:21:16;
9;9;x;;speech;MATCH;00:00:20:19;00:00:22:11;5;fait;5;fait;MATCH;1.00;groq_word;00:00:21:16;00:00:21:19;
9;9;x;;speech;MATCH;00:00:20:19;00:00:22:11;6;ete;6;ete;MATCH;1.00;groq_word;00:00:21:19;00:00:22:01;
9;9;x;;speech;MATCH;00:00:20:19;00:00:22:11;7;vole;7;vole;MATCH;1.00;groq_word;00:00:22:01;00:00:22:11;
9;9;x;;speech;MATCH;00:00:20:19;00:00:22:11;;;8;en;REF_ONLY;0.00;;;;
9;9;x;;speech;MATCH;00:00:20:19;00:00:22:11;;;9;mongolie;REF_ONLY;0.00;;;;
10;10;;x;silence;SILENCE;00:00:22:11;00:00:23:01;;;;;SILENCE;1.00;silence_row;00:00:22:11;00:00:23:01;
11;11;x;;speech;TRANSPOSED_MATCH;00:00:23:01;00:00:29:14;0;en;;;TRANSCRIPT_ONLY;0.00;groq_word;00:00:23:01;00:00:23:06;
11;11;x;;speech;TRANSPOSED_MATCH;00:00:23:01;00:00:29:14;1;mongolie;;;TRANSCRIPT_ONLY;0.00;groq_word;00:00:23:06;00:00:24:12;
11;11;x;;speech;TRANSPOSED_MATCH;00:00:23:01;00:00:29:14;2;nicolas;0;nicolas;MATCH;1.00;groq_word;00:00:24:12;00:00:24:19;
11;11;x;;speech;TRANSPOSED_MATCH;00:00:23:01;00:00:29:14;3;cage;1;cage;MATCH;1.00;groq_word;00:00:24:19;00:00:25:00;
11;11;x;;speech;TRANSPOSED_MATCH;00:00:23:01;00:00:29:14;4;devra;2;devra;MATCH;1.00;groq_word;00:00:25:00;00:00:25:07;
11;11;x;;speech;TRANSPOSED_MATCH;00:00:23:01;00:00:29:14;5;rendre;3;rendre;MATCH;1.00;groq_word;00:00:25:07;00:00:25:15;
11;11;x;;speech;TRANSPOSED_MATCH;00:00:23:01;00:00:29:14;6;le;4;le;MATCH;1.00;groq_word;00:00:25:15;00:00:25:20;
11;11;x;;speech;TRANSPOSED_MATCH;00:00:23:01;00:00:29:14;7;fossile;5;fossile;MATCH;1.00;groq_word;00:00:25:20;00:00:26:07;
11;11;x;;speech;TRANSPOSED_MATCH;00:00:23:01;00:00:29:14;8;et;;;TRANSCRIPT_ONLY;0.00;groq_word;00:00:26:07;00:00:27:07;
11;11;x;;speech;TRANSPOSED_MATCH;00:00:23:01;00:00:29:14;9;il;6;il;MATCH;1.00;groq_word;00:00:27:07;00:00:27:08;
11;11;x;;speech;TRANSPOSED_MATCH;00:00:23:01;00:00:29:14;10;sera;7;sera;MATCH;1.00;groq_word;00:00:27:08;00:00:27:15;
11;11;x;;speech;TRANSPOSED_MATCH;00:00:23:01;00:00:29:14;11;rembourse;8;rembourse;MATCH;1.00;groq_word;00:00:27:15;00:00:28:06;
11;11;x;;speech;TRANSPOSED_MATCH;00:00:23:01;00:00:29:14;12;a;9;a;MATCH;1.00;groq_word;00:00:28:06;00:00:28:16;
11;11;x;;speech;TRANSPOSED_MATCH;00:00:23:01;00:00:29:14;13;0;10;0;MATCH;1.00;groq_word;00:00:28:16;00:00:29:14;
12;12;;x;silence;SILENCE;00:00:29:14;00:00:31:08;;;;;SILENCE;1.00;silence_row;00:00:29:14;00:00:31:08;
13;13;x;;speech;MATCH;00:00:31:08;00:00:32:19;0;tous;0;tous;MATCH;1.00;groq_word;00:00:31:08;00:00:31:12;
13;13;x;;speech;MATCH;00:00:31:08;00:00:32:19;1;les;1;les;MATCH;1.00;groq_word;00:00:31:12;00:00:31:19;
13;13;x;;speech;MATCH;00:00:31:08;00:00:32:19;2;journaux;2;journaux;MATCH;1.00;groq_word;00:00:31:19;00:00:32:03;
13;13;x;;speech;MATCH;00:00:31:08;00:00:32:19;3;en;3;en;MATCH;1.00;groq_word;00:00:32:03;00:00:32:08;
13;13;x;;speech;MATCH;00:00:31:08;00:00:32:19;;;4;parle;REF_ONLY;0.00;;;;
13;13;x;;speech;MATCH;00:00:31:08;00:00:32:19;4;parlent;;;TRANSCRIPT_ONLY;0.00;groq_word;00:00:32:08;00:00:32:19;
14;14;;x;silence;SILENCE;00:00:32:19;00:00:33:11;;;;;SILENCE;1.00;silence_row;00:00:32:19;00:00:33:11;
15;15;;x;speech;PRE_REPEAT_ELIMINATED;00:00:33:11;00:00:35:18;0;il;;;ELIMINATED;0.00;groq_word;00:00:33:11;00:00:34:05;
15;15;;x;speech;PRE_REPEAT_ELIMINATED;00:00:33:11;00:00:35:18;1;y;;;ELIMINATED;0.00;groq_word;00:00:34:05;00:00:34:06;
15;15;;x;speech;PRE_REPEAT_ELIMINATED;00:00:33:11;00:00:35:18;2;a;;;ELIMINATED;0.00;groq_word;00:00:34:06;00:00:34:07;
15;15;;x;speech;PRE_REPEAT_ELIMINATED;00:00:33:11;00:00:35:18;3;meme;;;ELIMINATED;0.00;groq_word;00:00:34:07;00:00:34:13;
15;15;;x;speech;PRE_REPEAT_ELIMINATED;00:00:33:11;00:00:35:18;4;des;;;ELIMINATED;0.00;groq_word;00:00:34:13;00:00:34:21;
15;15;;x;speech;PRE_REPEAT_ELIMINATED;00:00:33:11;00:00:35:18;5;photos;;;ELIMINATED;0.00;groq_word;00:00:34:21;00:00:35:04;
15;15;;x;speech;PRE_REPEAT_ELIMINATED;00:00:33:11;00:00:35:18;6;qui;;;ELIMINATED;0.00;groq_word;00:00:35:04;00:00:35:08;
15;15;;x;speech;PRE_REPEAT_ELIMINATED;00:00:33:11;00:00:35:18;7;sortent;;;ELIMINATED;0.00;groq_word;00:00:35:08;00:00:35:18;
16;16;;x;silence;SILENCE;00:00:35:18;00:00:36:17;;;;;SILENCE;1.00;silence_row;00:00:35:18;00:00:36:17;
17;17;x;;speech;ANCHOR;00:00:36:17;00:00:38:16;0;il;0;il;MATCH;1.00;groq_word;00:00:36:17;00:00:36:21;
17;17;x;;speech;ANCHOR;00:00:36:17;00:00:38:16;1;y;1;y;MATCH;1.00;groq_word;00:00:36:21;00:00:37:00;
17;17;x;;speech;ANCHOR;00:00:36:17;00:00:38:16;2;a;2;a;MATCH;1.00;groq_word;00:00:37:00;00:00:37:02;
17;17;x;;speech;ANCHOR;00:00:36:17;00:00:38:16;3;meme;3;meme;MATCH;1.00;groq_word;00:00:37:02;00:00:37:06;
